id,person_id,event_id,rsvp,approved,checked_in,rsvp_datetime,is_first_event,invite_token_id
0,0,8,True,1,True,2025-02-02 21:46:07-05:00,False,8
1,99,8,True,1,True,2025-02-03 21:53:32-05:00,False,8
2,120,8,True,1,False,2025-02-03 21:53:37-05:00,False,8
3,227,8,True,1,False,2025-02-03 21:53:50-05:00,False,8
4,224,8,True,1,False,2025-02-03 21:54:10-05:00,False,8
5,498,8,True,1,True,2025-02-03 21:54:15-05:00,False,8
6,271,8,True,1,False,2025-02-03 21:54:19-05:00,False,8
7,191,8,True,1,False,2025-02-03 21:54:28-05:00,False,8
8,189,8,True,1,True,2025-02-03 21:54:31-05:00,False,8
9,386,8,True,1,False,2025-02-03 21:55:00-05:00,False,8
10,671,8,True,1,False,2025-02-03 21:55:51-05:00,False,8
11,244,8,True,1,False,2025-02-03 21:55:58-05:00,False,8
12,672,8,True,1,True,2025-02-03 21:56:05-05:00,False,8
13,242,8,True,1,True,2025-02-03 21:56:10-05:00,False,8
14,136,8,True,1,False,2025-02-03 21:56:30-05:00,False,8
15,221,8,True,1,True,2025-02-03 21:56:41-05:00,False,8
16,673,8,True,1,True,2025-02-03 21:56:49-05:00,False,8
17,131,8,True,1,False,2025-02-03 21:56:56-05:00,False,8
18,250,8,True,1,False,2025-02-03 21:57:15-05:00,False,8
19,118,8,True,1,True,2025-02-03 21:57:48-05:00,False,8
20,367,8,True,1,False,2025-02-03 21:58:19-05:00,False,8
21,263,8,True,1,False,2025-02-03 21:58:41-05:00,False,8
22,266,8,True,1,False,2025-02-03 21:59:00-05:00,False,8
23,292,8,True,1,False,2025-02-03 21:59:41-05:00,False,8
24,267,8,True,1,True,2025-02-03 22:00:03-05:00,False,8
25,241,8,True,1,True,2025-02-03 22:00:11-05:00,False,8
26,216,8,True,1,False,2025-02-03 22:03:38-05:00,False,8
27,5,8,True,1,True,2025-02-03 22:03:39-05:00,False,8
28,8,8,True,1,False,2025-02-03 22:03:40-05:00,False,8
29,20,8,True,1,False,2025-02-03 22:03:40-05:00,False,8
30,674,8,True,1,False,2025-02-03 22:03:41-05:00,False,8
31,18,8,True,1,True,2025-02-03 22:03:41-05:00,False,8
32,675,8,True,1,False,2025-02-03 22:03:42-05:00,False,8
33,11,8,True,1,False,2025-02-03 22:03:42-05:00,False,8
34,75,8,True,1,False,2025-02-03 22:03:43-05:00,False,8
35,35,8,True,1,True,2025-02-03 22:03:43-05:00,False,8
36,676,8,True,1,False,2025-02-03 22:03:44-05:00,False,8
37,67,8,True,1,True,2025-02-03 22:03:44-05:00,False,8
38,28,8,True,1,True,2025-02-03 22:03:45-05:00,False,8
39,68,8,True,1,True,2025-02-03 22:03:45-05:00,False,8
40,335,8,True,1,False,2025-02-03 22:03:46-05:00,False,8
41,34,8,True,1,True,2025-02-03 22:03:46-05:00,False,8
42,222,8,True,1,True,2025-02-03 22:03:47-05:00,False,8
43,40,8,True,1,True,2025-02-03 22:03:47-05:00,False,8
44,677,8,True,1,False,2025-02-03 22:03:48-05:00,False,8
45,114,8,True,1,True,2025-02-03 22:03:48-05:00,False,8
46,14,8,True,1,False,2025-02-03 22:03:49-05:00,False,8
47,108,8,True,1,False,2025-02-03 22:03:49-05:00,False,8
48,427,8,True,1,False,2025-02-03 22:03:50-05:00,False,8
49,71,8,True,1,True,2025-02-03 22:03:50-05:00,False,8
50,148,8,True,1,False,2025-02-03 22:03:51-05:00,False,8
51,85,8,True,1,True,2025-02-03 22:03:51-05:00,False,8
52,107,8,True,1,True,2025-02-03 22:03:52-05:00,False,8
53,48,8,True,1,False,2025-02-03 22:03:52-05:00,False,8
54,240,8,True,1,False,2025-02-03 22:03:53-05:00,False,8
55,41,8,True,1,False,2025-02-03 22:03:53-05:00,False,8
56,25,8,True,1,True,2025-02-03 22:03:54-05:00,False,8
57,50,8,True,1,True,2025-02-03 22:03:54-05:00,False,8
58,294,8,True,1,False,2025-02-03 22:03:55-05:00,False,8
59,15,8,True,1,True,2025-02-03 22:03:56-05:00,False,8
60,51,8,True,1,False,2025-02-03 22:03:56-05:00,False,8
61,232,8,True,1,False,2025-02-03 22:03:57-05:00,False,8
62,247,8,True,1,False,2025-02-03 22:03:59-05:00,False,8
63,595,8,True,1,False,2025-02-03 22:04:00-05:00,False,8
64,678,8,True,1,True,2025-02-03 22:04:01-05:00,False,8
65,1,8,True,1,True,2025-02-03 22:04:02-05:00,False,8
66,679,8,True,1,False,2025-02-03 22:04:03-05:00,False,8
67,30,8,True,1,False,2025-02-03 22:04:04-05:00,False,8
68,70,8,True,1,False,2025-02-03 22:04:04-05:00,False,8
69,83,8,True,1,False,2025-02-04 10:15:53-05:00,False,8
70,215,8,True,1,True,2025-02-04 11:07:36-05:00,False,8
71,59,8,True,1,True,2025-02-04 16:55:25-05:00,False,8
72,279,8,True,1,False,2025-02-04 17:41:05-05:00,False,8
73,680,8,True,1,False,2025-02-04 20:33:37-05:00,False,8
74,342,8,True,1,False,2025-02-04 20:55:57-05:00,False,8
75,648,8,True,1,False,2025-02-04 22:29:09-05:00,False,8
76,268,8,True,1,False,2025-02-05 10:34:27-05:00,False,8
77,141,8,True,1,True,2025-02-05 10:35:03-05:00,False,8
78,407,8,True,1,True,2025-02-05 11:14:37-05:00,False,8
79,410,8,True,1,True,2025-02-05 14:48:34-05:00,False,8
80,200,8,True,1,False,2025-02-05 17:21:21-05:00,False,8
81,74,8,True,1,False,2025-02-05 18:44:40-05:00,False,8
82,161,4,True,0,False,2024-11-08 00:38:57-05:00,False,4
83,681,4,True,1,True,2024-11-04 19:16:33-05:00,False,4
84,682,4,True,1,True,2024-11-03 16:49:54-05:00,False,4
85,683,4,True,1,False,2024-11-07 22:40:40-05:00,False,4
86,684,4,True,0,False,2024-11-08 03:15:05-05:00,False,4
87,170,4,True,1,True,2024-11-05 02:01:25-05:00,False,4
88,130,4,True,1,False,2024-11-05 11:25:05-05:00,False,4
89,79,4,True,1,True,2024-11-02 22:17:33-04:00,False,4
90,685,4,True,1,False,2024-11-02 22:17:33-04:00,False,4
91,686,4,True,0,False,2024-11-07 04:42:19-05:00,False,4
92,17,4,True,1,True,2024-11-02 22:17:33-04:00,False,4
93,687,4,True,0,False,2024-11-07 23:12:33-05:00,False,4
94,111,4,True,1,False,2024-11-04 17:46:07-05:00,False,4
95,93,4,True,1,True,,False,4
96,120,4,True,1,True,2024-11-02 22:17:33-04:00,False,4
97,688,4,True,1,False,2024-11-06 04:47:29-05:00,False,4
98,689,4,True,0,False,2024-11-07 22:34:18-05:00,False,4
99,14,4,True,1,True,2024-11-07 03:53:58-05:00,False,4
100,232,4,True,1,False,2024-11-06 00:00:00-05:00,False,4
101,690,4,True,1,False,2024-11-02 22:17:33-04:00,False,4
102,9,4,True,1,True,2024-11-02 22:17:33-04:00,False,4
103,691,4,True,1,False,2024-11-05 20:24:15-05:00,False,4
104,12,4,True,1,False,2024-11-04 15:35:57-05:00,False,4
105,267,4,True,1,False,2024-11-03 19:42:24-05:00,False,4
106,692,4,True,1,False,2024-11-07 02:30:51-05:00,False,4
107,693,4,True,0,False,2024-11-08 00:17:51-05:00,False,4
108,56,4,True,1,False,2024-11-06 02:27:30-05:00,False,4
109,103,4,True,1,True,2024-11-06 00:01:36-05:00,False,4
110,694,4,True,1,False,2024-11-04 01:15:09-05:00,False,4
111,412,4,True,0,False,2024-11-08 01:02:14-05:00,False,4
112,695,4,True,1,False,2024-11-08 00:28:04-05:00,False,4
113,27,4,True,0,False,2024-11-08 00:02:49-05:00,False,4
114,55,4,True,1,True,2024-11-07 22:40:46-05:00,False,4
115,299,4,True,1,False,2024-11-05 20:45:23-05:00,False,4
116,138,4,True,1,True,2024-11-07 20:16:41-05:00,False,4
117,696,4,True,1,False,2024-11-04 02:33:56-05:00,False,4
118,429,4,True,1,True,2024-11-02 22:17:33-04:00,False,4
119,697,4,True,1,True,2024-11-03 17:25:01-05:00,False,4
120,291,4,True,1,True,2024-11-02 22:17:33-04:00,False,4
121,698,4,True,0,False,2024-11-07 19:37:56-05:00,False,4
122,699,4,True,0,False,2024-11-08 01:01:27-05:00,False,4
123,700,4,True,0,False,2024-11-07 21:39:13-05:00,False,4
124,675,4,True,1,False,2024-11-04 15:00:58-05:00,False,4
125,43,4,True,1,True,2024-11-03 17:24:59-05:00,False,4
126,701,4,True,0,False,2024-11-07 21:37:10-05:00,False,4
127,135,4,True,1,True,2024-11-02 22:17:33-04:00,False,4
128,702,4,True,1,False,2024-11-05 03:08:36-05:00,False,4
129,33,4,True,1,True,2024-11-02 22:17:33-04:00,False,4
